Parameter_ID,Survival_CPM,Survival_DPM,EC_category,Bucket,DPM_days_improvement,DPM_percent_improvement,misspecification_rate
38680301,43.0,43.0,both_same,0.0_0.0_-1.0_-1.0,0.0,0.0,5x
35031809,1845.0,1845.0,both_same,0.0_0.0_0.0_0.0,0.0,0.0,30x
35057419,1402.0,1410.0,both_same,0.0_0.0_0.0_0.0,8.0,0.005673758865248227,5x
35057419,1463.0,1482.0,both_same,0.0_0.0_0.0_0.0,19.0,0.01282051282051282,10x
37739262,1845.0,1845.0,first_same_only,0.0_0.0_0.0_1.0,0.0,0.0,30x
35992037,551.0,596.0,first_same_only,0.0_0.0_0.0_1.0,45.0,0.07550335570469799,div5
36927751,66.0,69.0,first_same_only,0.0_0.0_1.0_0.0,3.0,0.043478260869565216,div5
37478418,424.0,459.0,first_same_only,0.0_0.0_1.0_0.0,35.0,0.07625272331154684,div5
39477738,25.0,24.0,second_same_only,0.0_0.5_-1.0_-1.0,-1.0,-0.041666666666666664,div5
37745269,367.0,1845.0,both diff,0.0_0.5_0.0_-1.0,1478.0,0.8010840108401084,30x
39281665,760.0,770.0,both diff,0.0_1.0_0.0_1.0,10.0,0.012987012987012988,10x
39283916,679.0,965.0,both diff,0.0_1.0_0.0_1.0,286.0,0.29637305699481864,30x
39283531,186.0,228.0,second_same_only,0.0_1.0_1.0_1.0,42.0,0.18421052631578946,div5
19713516,45.0,25.0,second_same_only,1.0_0.0_-1.0_-1.0,-20.0,-0.8,div5
18094160,144.0,1845.0,both diff,1.0_0.0_0.0_-1.0,1701.0,0.9219512195121952,5x
32798052,78.0,61.0,second_same_only,1.0_0.0_0.0_0.0,-17.0,-0.2786885245901639,div30
3007080,1845.0,1845.0,second_same_only,1.0_0.0_0.0_0.0,0.0,0.0,10x
12066795,181.0,203.0,second_same_only,1.0_0.0_0.0_0.0,22.0,0.10837438423645321,div30
535438,194.0,194.0,both diff,1.0_0.0_0.0_0.5,0.0,0.0,div5
12890579,1845.0,1801.0,both diff,1.0_0.0_0.0_1.0,-44.0,-0.024430871737923375,10x
32798052,271.0,1845.0,both diff,1.0_0.0_0.0_1.0,1574.0,0.8531165311653116,30x
18801467,1845.0,1845.0,both diff,1.0_0.0_1.0_-1.0,0.0,0.0,30x
17976303,287.0,1845.0,both diff,1.0_0.0_1.0_-1.0,1558.0,0.8444444444444444,30x
26913792,1845.0,1845.0,both diff,1.0_0.0_1.0_0.0,0.0,0.0,10x
33502503,1845.0,1845.0,both diff,1.0_0.0_1.0_0.0,0.0,0.0,10x
24554291,154.0,158.0,both diff,1.0_0.0_1.0_0.0,4.0,0.02531645569620253,div5
13596329,477.0,647.0,both diff,1.0_0.0_1.0_0.0,170.0,0.26275115919629055,div10
