Parameter_ID,S_pop,R1_pop,R2_pop,R12_pop,g0,g0_R1,g0_R2,g0_R12,S_cell_sensitivity_D1,S_cell_sensitivity_D2,R1_cell_sensitivity_D1,R1_cell_sensitivity_D2,R2_cell_sensitivity_D1,R2_cell_sensitivity_D2,R12_cell_sensitivity_D1,R12_cell_sensitivity_D2,S_transition_to_S,R1_transition_to_S,R2_transition_to_S,R21_transition_to_S,S_transition_to_R1,R1_transition_to_R1,R2_transition_to_R1,R12_transition_to_R1,S_transition_to_R2,R1_transition_to_R2,R2_transition_to_R2,R12_transition_to_R2,S_transition_to_R12,R1_transition_to_R12,R2_transition_to_R12,R12_transition_to_R12,misspecification_rate
14420309,4999900000,500,50000,0,0.0184,0.0184,0.0184,0.0184,0.0091338,0.00182676,0.007307,0.00182676,0.0091338,0.0001529,0.007307,0.0001529,0,0,0,0,1e-11,0,0,0,2.154e-10,0,0,0,0,2.154e-10,1e-11,0,div5
12301804,5000000000,500,0,0,0.34,0.34,0.34,0.34,0.16878,0.8439,0.0014684,0.8439,0.16878,8.0705e-05,0.0014684,8.0705e-05,0,0,0,0,2.154e-10,0,0,0,2.154e-06,0,0,0,0,2.154e-06,2.154e-10,0,5x
35007692,500000000,4500000000,0,0,0.0184,0.0184,0.0184,0.0184,0.0091338,0.00182676,8.3538e-06,0.00182676,0.0091338,1.82676e-08,8.3538e-06,1.82676e-08,0,0,0,0,2.154e-06,0,0,0,0.001,0,0,0,0,0.001,2.154e-06,0,div5
36560402,500000000,4500000000,500,0,0.007,0.007,0.007,0.007,0.32063,0.051942,3.2063e-06,0.051942,0.32063,0.0,3.2063e-06,0.0,0,0,0,0,2.154e-06,0,0,0,2.154e-06,0,0,0,0,2.154e-06,2.154e-06,0,30x
11142540,500000000,5,4500000000,0,0.0184,0.0184,0.0184,0.0184,0.087737,0.438685,0.0073436,0.438685,0.087737,0.000401225,0.0073436,0.000401225,0,0,0,0,4.642e-05,0,0,0,1e-07,0,0,0,0,1e-07,4.642e-05,0,5x
12301804,5000000000,500,0,0,0.34,0.34,0.34,0.34,0.16878,5.0634,0.0014684,5.0634,0.16878,0.00048423,0.0014684,0.00048423,0,0,0,0,2.154e-10,0,0,0,2.154e-06,0,0,0,0,2.154e-06,2.154e-10,0,30x
14420309,4999900000,500,50000,0,0.0184,0.0184,0.0184,0.0184,0.0091338,0.00030446,0.007307,0.00030446,0.0091338,2.54833e-05,0.007307,2.54833e-05,0,0,0,0,1e-11,0,0,0,2.154e-10,0,0,0,0,2.154e-10,1e-11,0,div30
14420309,4999900000,500,50000,0,0.0184,0.0184,0.0184,0.0184,0.0091338,0.091338,0.007307,0.091338,0.0091338,0.007645,0.007307,0.007645,0,0,0,0,1e-11,0,0,0,2.154e-10,0,0,0,0,2.154e-10,1e-11,0,10x
14420309,4999900000,500,50000,0,0.0184,0.0184,0.0184,0.0184,0.0091338,0.274014,0.007307,0.274014,0.0091338,0.022935,0.007307,0.022935,0,0,0,0,1e-11,0,0,0,2.154e-10,0,0,0,0,2.154e-10,1e-11,0,30x
27831429,4495000000,5000000,500000000,0,0.1287,0.1287,0.1287,0.1287,0.063887,0.63887,0.00055581,0.63887,0.063887,6.3887e-06,0.00055581,6.3887e-06,0,0,0,0,4.642e-09,0,0,0,1e-07,0,0,0,0,1e-07,4.642e-09,0,10x
