paramID,Spop,R1pop,R2pop,R12pop,g0_S,g0_R1,g0_R2,g0_R12,Sa.S.D1.,Sa.S.D2.,Sa.R1.D1.,Sa.R1.D2.,Sa.R2.D1.,Sa.R2.D2.,Sa.R12.D1.,Sa.R12.D2.,T.S..S.,T.S..R1.,T.S..R2.,T.S..R12.,T.R1..S.,T.R1..R1.,T.R1..R2.,T.R1..R12.,T.R2..S.,T.R2..R1.,T.R2..R2.,T.R2..R12.,T.R12..S.,T.R12..R1.,T.R12..R2.,T.R12..R12.
4569344,4500000000,0,500000000,0,0.0184,0.0184,0.0184,0.0184,0.8428,0.0280933,0,0.0280933,0.8428,0.000244413,0,0.000244413,0,0,0,0,0.001,0,0,0,1e-07,0,0,0,0,1e-07,0.001,0
4567629,4500000000,0,500000000,0,0.0184,0.0184,0.0184,0.0184,0.8428,0.00762467,8.0601e-05,0.00762467,0.8428,6.63333e-05,8.0601e-05,6.63333e-05,0,0,0,0,0.001,0,0,0,1e-07,0,0,0,0,1e-07,0.001,0
4569481,4500000000,0,500000000,0,0.0184,0.0184,0.0184,0.0184,0.8428,0.0280933,8.428e-06,0.0280933,0.8428,0,8.428e-06,0,0,0,0,0,4.642e-05,0,0,0,1e-11,0,0,0,0,1e-11,4.642e-05,0
4567770,4500000000,0,500000000,0,0.0184,0.0184,0.0184,0.0184,0.8428,0.00762467,0.00077084,0.00762467,0.8428,0,0.00077084,0,0,0,0,0,4.642e-05,0,0,0,2.154e-06,0,0,0,0,2.154e-06,4.642e-05,0
4560324,4500000000,0,500000000,0,0.0184,0.0184,0.0184,0.0184,0.8428,0.000151703,8.0601e-05,0.000151703,0.8428,1.45083e-08,8.0601e-05,1.45083e-08,0,0,0,0,4.642e-05,0,0,0,0.001,0,0,0,0,0.001,4.642e-05,0
4561063,4500000000,0,500000000,0,0.0184,0.0184,0.0184,0.0184,0.8428,0.000151703,0.0073324,0.000151703,0.8428,1.3875e-07,0.0073324,1.3875e-07,0,0,0,0,0.001,0,0,0,1e-07,0,0,0,0,1e-07,0.001,0
4565618,4500000000,0,500000000,0,0.0184,0.0184,0.0184,0.0184,0.8428,0.0020705,0.00077084,0.0020705,0.8428,0.0001733,0.00077084,0.0001733,0,0,0,0,0.001,0,0,0,2.154e-10,0,0,0,0,2.154e-10,0.001,0
4560312,4500000000,0,500000000,0,0.0184,0.0184,0.0184,0.0184,0.8428,0.000151703,8.0601e-05,0.000151703,0.8428,1.45083e-08,8.0601e-05,1.45083e-08,0,0,0,0,2.154e-06,0,0,0,2.154e-10,0,0,0,0,2.154e-10,2.154e-06,0
4567178,4500000000,0,500000000,0,0.0184,0.0184,0.0184,0.0184,0.8428,0.00762467,8.428e-06,0.00762467,0.8428,7.29167e-07,8.428e-06,7.29167e-07,0,0,0,0,4.642e-05,0,0,0,1e-11,0,0,0,0,1e-11,4.642e-05,0
4569958,4500000000,0,500000000,0,0.0184,0.0184,0.0184,0.0184,0.8428,0.0280933,8.0601e-05,0.0280933,0.8428,2.56947e-05,8.0601e-05,2.56947e-05,0,0,0,0,1e-07,0,0,0,2.154e-10,0,0,0,0,2.154e-10,1e-07,0
4567124,4500000000,0,500000000,0,0.0184,0.0184,0.0184,0.0184,0.8428,0.00762467,8.428e-06,0.00762467,0.8428,7.62467e-08,8.428e-06,7.62467e-08,0,0,0,0,2.154e-06,0,0,0,4.642e-09,0,0,0,0,4.642e-09,2.154e-06,0
4562026,4500000000,0,500000000,0,0.0184,0.0184,0.0184,0.0184,0.8428,0.000561867,0,0.000561867,0.8428,5.37333e-08,0,5.37333e-08,0,0,0,0,2.154e-06,0,0,0,1e-11,0,0,0,0,1e-11,2.154e-06,0
4569296,4500000000,0,500000000,0,0.0184,0.0184,0.0184,0.0184,0.8428,0.0280933,0,0.0280933,0.8428,2.56947e-05,0,2.56947e-05,0,0,0,0,0.001,0,0,0,2.154e-06,0,0,0,0,2.154e-06,0.001,0
4560364,4500000000,0,500000000,0,0.0184,0.0184,0.0184,0.0184,0.8428,0.000151703,8.0601e-05,0.000151703,0.8428,1.3875e-07,8.0601e-05,1.3875e-07,0,0,0,0,2.154e-06,0,0,0,2.154e-06,0,0,0,0,2.154e-06,2.154e-06,0
4567574,4500000000,0,500000000,0,0.0184,0.0184,0.0184,0.0184,0.8428,0.00762467,8.0601e-05,0.00762467,0.8428,6.97333e-06,8.0601e-05,6.97333e-06,0,0,0,0,4.642e-05,0,0,0,2.154e-06,0,0,0,0,2.154e-06,4.642e-05,0
4567524,4500000000,0,500000000,0,0.0184,0.0184,0.0184,0.0184,0.8428,0.00762467,8.0601e-05,0.00762467,0.8428,7.29167e-07,8.0601e-05,7.29167e-07,0,0,0,0,4.642e-05,0,0,0,1e-07,0,0,0,0,1e-07,4.642e-05,0
4562286,4500000000,0,500000000,0,0.0184,0.0184,0.0184,0.0184,0.8428,0.000561867,8.428e-06,0.000561867,0.8428,0,8.428e-06,0,0,0,0,0,0.001,0,0,0,2.154e-10,0,0,0,0,2.154e-10,0.001,0
4563170,4500000000,0,500000000,0,0.0184,0.0184,0.0184,0.0184,0.8428,0.000561867,0.00077084,0.000561867,0.8428,4.88833e-06,0.00077084,4.88833e-06,0,0,0,0,0.001,0,0,0,1e-07,0,0,0,0,1e-07,0.001,0
4567287,4500000000,0,500000000,0,0.0184,0.0184,0.0184,0.0184,0.8428,0.00762467,8.428e-06,0.00762467,0.8428,6.63333e-05,8.428e-06,6.63333e-05,0,0,0,0,0.001,0,0,0,2.154e-06,0,0,0,0,2.154e-06,0.001,0
4567826,4500000000,0,500000000,0,0.0184,0.0184,0.0184,0.0184,0.8428,0.00762467,0.00077084,0.00762467,0.8428,7.62467e-08,0.00077084,7.62467e-08,0,0,0,0,0.001,0,0,0,2.154e-06,0,0,0,0,2.154e-06,0.001,0
4560030,4500000000,0,500000000,0,0.0184,0.0184,0.0184,0.0184,0.8428,0.000151703,8.428e-06,0.000151703,0.8428,1.3875e-07,8.428e-06,1.3875e-07,0,0,0,0,4.642e-05,0,0,0,0.001,0,0,0,0,0.001,4.642e-05,0
4560071,4500000000,0,500000000,0,0.0184,0.0184,0.0184,0.0184,0.8428,0.000151703,8.428e-06,0.000151703,0.8428,1.31983e-06,8.428e-06,1.31983e-06,0,0,0,0,2.154e-06,0,0,0,4.642e-05,0,0,0,0,4.642e-05,2.154e-06,0
